"","year","accomplishment","person","gender","category","decade"
"1",1670,"First African-American to own land in Boston","Zipporah Potter Atkins[citation needed]","African-American Firsts","Social & Jobs",1670
"2",1738,"First free African-American community","Gracia Real de Santa Teresa de Mose (later named Fort Mose) in Spanish Florida[citation needed]","African-American Firsts","Social & Jobs",1730
"3",1746,"First known African-American (and slave) to compose a work of literature","Lucy Terry with her poem Bars Fight, composed in 1746[4] and first published in 1855 in Josiah Holland's History of Western Massachusetts[5][4]","African-American Firsts","Social & Jobs",1740
"4",1760,"First known African-American published author","Jupiter Hammon (poem An Evening Thought","Female African American Firsts","Arts & Entertainment",1760
"5",1767,"First African-American clockmaker, Peter Hill, was born.[7]",NA,"African-American Firsts",NA,1760
"6",1768,"First known African-American to be elected to public office","Wentworth Cheswell, town constable in Newmarket, New Hampshire.[8]","African-American Firsts","Social & Jobs",1760
"7",1773,"First known African-American woman to publish a book","Phillis Wheatley (Poems on Various Subjects, Religious and Moral)[9]","Female African American Firsts","Arts & Entertainment",1770
"8",1773,"First separate African-American church","Silver Bluff Baptist Church, Aiken County, South Carolina[10][11][Note 1]","African-American Firsts","Religion",1770
"9",1775,"First African-American to join the Freemasons","Prince Hall[citation needed]","African-American Firsts","Social & Jobs",1770
"10",1778,"First African-American U.S. military regiment","the 1st Rhode Island Regiment[12]","African-American Firsts","Military",1770
"11",1783,"First African-American to formally practice medicine","James Derham, who did not hold an M.D. degree.[13] (See also","African-American Firsts","Education & Science",1780
"12",1785,"First African-American ordained as a Christian minister in the United States","Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ[14]","African-American Firsts","Religion",1780
"13",1792,"First major African-American Back-to-Africa movement","3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone.[citation needed]","African-American Firsts","Social & Jobs",1790
"14",1793,"First African Methodist Episcopal (AME) Church founded","Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen[citation needed]","African-American Firsts","Religion",1790
"15",1794,"First African Episcopal Church established","Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania[citation needed]","Female African American Firsts","Religion",1790
"16",1804,"First African-American ordained as an Episcopal priest","Absalom Jones in Philadelphia, Pennsylvania[15]","African-American Firsts","Religion",1800
"17",1807,"First African-American Presbyterian Church in America","First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave.[16]","African-American Firsts","Religion",1800
"18",1816,"First fully independent African-American denomination","African Methodist Episcopal Church (AME), based in Philadelphia, Pennsylvania and mid-Atlantic states[citation needed]","African-American Firsts","Religion",1810
"19",1821,"First African-American to hold a patent","Thomas L. Jennings, for a dry-cleaning process[17]","African-American Firsts","Education & Science",1820
"20",1822,"First African-American captain to sail a whaleship with an all-black crew","Absalom Boston[18]","African-American Firsts","Military",1820
"21",1823,"First African-American to receive a degree from an American college","Alexander Twilight, Middlebury College[19] (See also","African-American Firsts","Education & Science",1820
"22",1827,"First African-American owned-and-operated newspaper","Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks.[citation needed]","African-American Firsts","Arts & Entertainment",1820
"23",1832,"First governor of African descent in what is now the US","Pío Pico, an Afro-Mexican, was the last governor of Alta California before it was ceded to the US. Like all Californios, Pico automatically became a US citizen in 1848.[citation needed]","African-American Firsts","Politics",1830
"24",1836,"First African-American elected to serve in a state legislature","Alexander Twilight, Vermont[19] (See also","African-American Firsts","Military",1830
"25",1836,"First African-American to found a town and establish a planned community","Free Frank McWorter (New Philadelphia, Illinois)[20][21]","African-American Firsts","Social & Jobs",1830
"26",1837,"First formally trained African-American medical doctor","Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.[22] (See also","African-American Firsts","Education & Science",1830
"27",1845,"First African-American licensed to practice law","Macon Allen from the Boston bar[23]","African-American Firsts","Law",1840
"28",1847,"First African-American to graduate from a U.S. medical school","Dr. David J. Peck[24] (Rush Medical College) (See also","African-American Firsts","Education & Science",1840
"29",1847,"First African-American president of any nation","Joseph Jenkins Roberts, Liberia[25]","African-American Firsts","Politics",1840
"30",1849,"First African-American college professor at a predominantly white institution","Charles L. Reason, New York Central College[26]","African-American Firsts","Education & Science",1840
"31",1851,"First African-American member of the Society of Jesus (Jesuits)","Patrick Francis Healy[27] (See also","African-American Firsts","Religion",1850
"32",1853,"First novel published by an African-American","Clotel; or, The President's Daughter, by William Wells Brown, then living in London.[Note 2][28][29]","Female African American Firsts","Arts & Entertainment",1850
"33",1854,"First African-American Catholic priest","James Augustine Healy[30] (see 1875 and 1886)","African-American Firsts","Religion",1850
"34",1854,"First institute of higher learning created to educate African-Americans","Ashmun Institute in Pennsylvania, renamed Lincoln University in 1866. (See also firsts in 1863)","Female African American Firsts","Education & Science",1850
"35",1858,"First published play by an African-American","The Escape; or, A Leap for Freedom by William Wells Brown[31]","Female African American Firsts","Arts & Entertainment",1850
"36",1858,"First African-American woman college instructor","Sarah Jane Woodson Early, Wilberforce College[32]","Female African American Firsts","Education & Science",1850
"37",1858,"First African-American woman to graduate from a medical course of study at an American university","Sarah Mapps Douglass","Female African American Firsts","Education & Science",1850
"38",1858,"First African-American Missionary Bishop of Liberia","Francis Burns of Windham, N.Y. of the Methodist Episcopal Church.[33]","African-American Firsts","Religion",1850
"39",1861,"First North American military unit with African-American officers","1st Louisiana Native Guard of the Confederate Army","African-American Firsts","Military",1860
"40",1861,"First African-American US federal government civil servant","William Cooper Nell[34]","African-American Firsts","Politics",1860
"41",1862,"First African-American woman to earn a B.A.","Mary Jane Patterson, Oberlin College[35]","Female African American Firsts","Education & Science",1860
"42",1862,"First recognized U.S. Army African-American combat unit","1st South Carolina Volunteers","African-American Firsts","Military",1860
"43",1863,"First college owned and operated by African-Americans","Wilberforce University in Ohio[36][Note 3] (See also","African-American Firsts","Arts & Entertainment",1860
"44",1863,"First African-American president of a college","Bishop Daniel Payne (Wilberforce University)[37]","African-American Firsts","Education & Science",1860
"45",1864,"First African-American woman in the United States to earn an M.D.","Dr. Rebecca Davis Lee Crumpler[38]","Female African American Firsts","Education & Science",1860
"46",1865,"First African-American field officer in the U.S. Army","Martin Delany[39]","African-American Firsts","Military",1860
"47",1865,"First African-American attorney admitted to the bar of the U.S. Supreme Court","John Stewart Rock[40]","African-American Firsts","Law",1860
"48",1865,"First African-American to be commissioned as captain in the Regular U.S. Army","Orindatus Simon Bolivar Wall, known as OSB Wall[41]","African-American Firsts","Military",1860
"49",1866,"First African-American to earn a Ph.D.","Father Patrick Francis Healy from University of Leuven, Belgium[27] (See also 1851, 1874)","African-American Firsts","Education & Science",1860
"50",1866,"First African-American woman enlistee in the U.S. Army","Cathay Williams[42]","Female African American Firsts","Military",1860
"51",1866,"First African-American woman to serve as a professor","Sarah Jane Woodson Early; Xenia, Ohio's Wilberforce University hired her to teach Latin and English","Female African American Firsts","Military",1860
"52",1868,"First elected African-American Lieutenant Governor","Oscar Dunn (Louisiana).[43]","African-American Firsts","Politics",1860
"53",1868,"First African-American mayor","Pierre Caliste Landry, Donaldsonville, Louisiana[44]","African-American Firsts","Politics",1860
"54",1868,"First African-American elected to the U.S. House of Representatives","John Willis Menard.[45] His opponent contested his election, and opposition to his election prevented him from being seated in Congress. (See also","African-American Firsts","Politics",1860
"55",1869,"First African-American U.S. diplomat","Ebenezer Don Carlos Bassett, minister to Haiti[46]","African-American Firsts","Politics",1860
"56",1869,"First African-American woman school principal","Fanny Jackson Coppin (Institute for Colored Youth)[47]","Female African American Firsts","Education & Science",1860
"57",1869,"First African-American to receive a dental degree and become a dentist","Robert Tanner Freeman[48]","African-American Firsts","Education & Science",1860
"58",1870,"First African-American to vote in an election under the 15th Amendment to the United States Constitution, granting voting rights regardless of race","Thomas Mundy Peterson[49]","African-American Firsts","Social & Jobs",1870
"59",1870,"First African-American to graduate from Harvard College","Richard Theodore Greener.[50]","African-American Firsts","Education & Science",1870
"60",1870,"First African-American elected to the U.S. Senate, and first to serve in the U.S. Congress","Hiram Rhodes Revels (R–MS).[51][Note 4]","African-American Firsts","Military",1870
"61",1870,"First African-American to serve in the U.S. House of Representatives","Joseph Rainey (R-SC).[52][Note 5]","African-American Firsts","Military",1870
"62",1870,"First African-American acting governor","Oscar James Dunn of Louisiana from May until August 9, 1871, when sitting Governor Warmoth was incapacitated and chose to recuperate in Mississippi.  (See also","African-American Firsts","Politics",1870
"63",1872,"First African-American midshipman admitted to the United States Naval Academy","John H. Conyers (nominated by Robert B. Elliott of South Carolina).[53]","African-American Firsts","Military",1870
"64",1872,"First African-American governor (non-elected)","P. B. S. Pinchback of Louisiana (See also","African-American Firsts","Politics",1870
"65",1872,"First African-American nominee for Vice President of the United States","Frederick Douglass by the Equal Rights Party.[55][Note 6]","African-American Firsts","Politics",1870
"66",1873,"First African-American speaker of the Mississippi House of Representatives, and of any state legislature","John R. Lynch","African-American Firsts","Politics",1870
"67",1874,"First African-American president of a major college/university","Father Patrick Francis Healy, S.J. of Georgetown College.[27] (See also","African-American Firsts","Education & Science",1870
"68",1874,"First African-American to preside over the House of Representatives as Speaker pro tempore","Joseph Rainey[56]","African-American Firsts","Politics",1870
"69",1875,"First African-American Roman Catholic bishop","Bishop James Augustine Healy, of Portland, Maine.[30] (See also","African-American Firsts","Religion",1870
"70",1876,"First African-American to earn a doctorate degree from an American university","Edward Alexander Bouchet (Yale College Ph.D., physics; also first African-American to graduate from Yale, 1874).[57] (See also","African-American Firsts","Education & Science",1870
"71",1877,"First African-American graduate of West Point and first African-American commissioned officer in the U.S. military","Henry Ossian Flipper.[58]","African-American Firsts","Military",1870
"72",1877,"First African-American elected to Phi Beta Kappa, George Washington Henderson.[59]",NA,"African-American Firsts","Politics",1870
"73",1878,"First African-American police officer in Boston, Massachusetts","Sergeant Horatio J. Homer.[60]","African-American Firsts","Military",1870
"74",1878,"First African-American baseball player in organized professional baseball","John W. Bud Fowler.[61]","African-American Firsts","Education & Science",1870
"75",1879,"First African-American to graduate from a formal nursing school","Mary Eliza Mahoney, Boston, Massachusetts.[62]","African-American Firsts","Arts & Entertainment",1870
"76",1879,"First African-American to play major league baseball","Possibly William Edward White; he played as a substitute in one professional baseball game for the Providence Grays of the National League, on June 21, 1879.[63] Work by the Society for American Baseball Research (SABR) suggests that he may have been the first African-American to play major league baseball, predating the longer careers of Moses Fleetwood Walker and his brother Weldy Walker by five years; and Jackie Robinson by 68 years.[64][65][66][67][68]","African-American Firsts","Education & Science",1870
"77",1880,"First African-American to command a U.S. ship","Captain Michael Healy.[69]","African-American Firsts","Military",1880
"78",1880,"First African-American world champion in pedestrianism, a 19th-century forerunner to racewalking and ultramarathons","Frank Hart.[70]","African-American Firsts","Sports",1880
"79",1881,"First African-American whose signature appeared on U.S. paper currency","Blanche K. Bruce, Register of the Treasury.[71]","African-American Firsts","Social & Jobs",1880
"80",1882,"First fully state-supported four-year institution of higher learning for African-Americans","Virginia State University","Female African American Firsts","Education & Science",1880
"81",1883,"First known African-American woman to graduate from one of the Seven Sisters colleges","Hortense Parker (Mount Holyoke College)[72][Note 7]","Female African American Firsts","Social & Jobs",1880
"82",1883,"First African-American woman to earn a PhD. Nettie Craig-Asberry June 12, 1883 earns her doctoral degree in music from the University of Kansas one month shy of her 18th birthday.",NA,"Female African American Firsts","Arts & Entertainment",1880
"83",1884,"First African-American to play professional baseball at the major-league level","Possibly Moses Fleetwood Walker, but see also William Edward White in 1879.[73] (See also","African-American Firsts","Education & Science",1880
"84",1884,"First African-American woman to hold a patent","Judy W. Reed, for an improved dough kneader, Washington, D.C.[74][Note 8]","Female African American Firsts","Education & Science",1880
"85",1884,"First African-American to enlist in the U.S. Signal Corps","William Hallett Greene[75][76]","African-American Firsts","Military",1880
"86",1884,"First African-American to lead a political party's National Convention","John R. Lynch, Republican National Convention.[77]","African-American Firsts","Politics",1880
"87",1884,"First African-American to deliver a keynote address at a political party's National Convention","John R. Lynch, Republican National Convention.[77]","African-American Firsts","Politics",1880
"88",1886,"First Roman Catholic priest publicly known at the time to be African-American","Augustine Tolton, Quincy and Chicago, Illinois[78] (See also","African-American Firsts","Social & Jobs",1880
"89",1890,"First African-American woman to earn a dental degree in the United States","Ida Rollins, University of Michigan.[79][80]","Female African American Firsts","Education & Science",1890
"90",1890,"First African-American to record a best-selling phonograph record","George Washington Johnson, The Laughing Song and The Whistling Coon.[81]","African-American Firsts","Arts & Entertainment",1890
"91",1890,"First woman and African-American to earn a military pension for their own military service","Ann Bradford Stokes.[82]","Female African American Firsts","Military",1890
"92",1891,"First African-American police officer in present-day New York City","Wiley Overton, hired by the Brooklyn Police Department prior to 1898 incorporation of the five boroughs into the City of New York.[83] (See also","African-American Firsts","Military",1890
"93",1892,"First African-American to sing at Carnegie Hall","Matilda Sissieretta Joyner Jones[84]","African-American Firsts","Arts & Entertainment",1890
"94",1892,"First African-American named to a College Football All-America Team","William H. Lewis, Harvard University[85]","African-American Firsts","Education & Science",1890
"95",1895,"First African-American woman to work for the United States Postal Service","Mary Fields[86]","Female African American Firsts","Politics",1890
"96",1895,"First African-American to earn a doctorate degree (Ph.D.) from Harvard University","W.E.B. Du Bois[87]","African-American Firsts","Education & Science",1890
"97",1898,"First African-American appointed to serve as U.S. Army Paymaster","Richard R. Wright","African-American Firsts","Military",1890
"98",1899,"First African-American to achieve world championship in any sport","Major Taylor, for 1-mile track cycling[88]","African-American Firsts","Sports",1890
"99",1901,"First African-American invited to dine at the White House","Booker T. Washington[89]","African-American Firsts","Social & Jobs",1900
"100",1902,"First African-American professional basketball player","Harry Lew (New England Professional Basketball League)[90] (See also","African-American Firsts","Education & Science",1900
"101",1902,"First African-American professional American football player","Charles Follis","African-American Firsts","Sports",1900
"102",1902,"First African-American boxing champion","Joe Gans, a lightweight (See also","African-American Firsts","Sports",1900
"103",1903,"First Broadway musical written by African-Americans, and the first to star African-Americans","In Dahomey","African-American Firsts","Arts & Entertainment",1900
"104",1903,"First African-American woman to found and become president of a bank","Maggie L. Walker, St. Luke Penny Savings Bank (since 1930 the Consolidated Bank & Trust Company), Richmond, Virginia[91]","Female African American Firsts","Politics",1900
"105",1904,"First Greek-letter fraternal organization founded by African-Americans","Sigma Pi Phi","African-American Firsts","Social & Jobs",1900
"106",1904,"First African-American to participate in the Olympic Games, and first to win a medal","George Poage (two bronze medals)[92]","African-American Firsts","Education & Science",1900
"107",1906,"First intercollegiate Greek-letter organization founded by African-Americans","Alpha Phi Alpha (ΑΦΑ), at Cornell University","African-American Firsts","Social & Jobs",1900
"108",1907,"First African-American Greek Orthodox priest and missionary in America","Very Rev. Fr. Robert Josias Morgan[93]","African-American Firsts","Social & Jobs",1900
"109",1908,"First African-American heavyweight boxing champion","Jack Johnson[94] (See also","African-American Firsts","Sports",1900
"110",1908,"First African-American Olympic gold medal winner","John Taylor (track and field medley relay team).[95] (See also","African-American Firsts","Education & Science",1900
"111",1908,"First intercollegiate Greek-letter sorority established by African-Americans","Alpha Kappa Alpha (ΑΚΑ) at Howard University","Female African American Firsts","Social & Jobs",1900
"112",1910,"First African-American female millionaire","Madam C. J. Walker[96]","Female African American Firsts","Social & Jobs",1910
"113",1910,"First African-American woman to be recorded commercially","Daisy Tapley[97] (Recording source- Library of Congress)","Female African American Firsts","Arts & Entertainment",1910
"114",1911,"First intercollegiate Greek-letter fraternity founded by African-Americans at a historically black college","Omega Psi Phi (ΩΨΦ), at Howard University","African-American Firsts","Social & Jobs",1910
"115",1911,"First African-American police officer in New York City","Samuel J. Battle, following the 1898 incorporation of the five boroughs into the City of New York, and the hiring of three African-American officers in the Brooklyn Police Department. Battle was also the NYPD's first African-American sergeant (1926), lieutenant (1935), and parole commissioner (1941).[83] (See also","African-American Firsts","Military",1910
"116",1911,"First African-American attorney admitted to the American Bar Association","Butler R. Wilson (June 1911), William Henry Lewis (August 1911), and William R. Morris (October 1911)[98][99]","African-American Firsts","Law",1910
"117",1914,"First African-American military pilot","Eugene Jacques Bullard","African-American Firsts","Military",1910
"118",1915,"First African-American alderman of Chicago","Oscar Stanton De Priest[100]","African-American Firsts","Politics",1910
"119",1916,"First African-American to play in a Rose Bowl game","Fritz Pollard, Brown University[101]","African-American Firsts","Sports",1910
"120",1916,"First African-American to become a colonel in the U.S. Army","Charles Young[102][103]","African-American Firsts","Military",1910
"121",1916,"First African-American woman to become a licensed pharmacist","Ella P. Stewart","Female African American Firsts",NA,1910
"122",1917,"First African-American woman to win a major sports title","Lucy Diggs Slowe, American Tennis Association[104]","Female African American Firsts","Sports",1910
"123",1919,"First African-American special agent for the FBI","James Wormley Jones[105][106]","African-American Firsts","Law",1910
"124",1919,"First African-American women appointed as police officers","Cora I. Parchment at the New York Police Department (NYPD)[107] and Georgia Ann Robinson, by the Los Angeles Police Department (LAPD)[108]","African-American Firsts","Military",1910
"125",1919,"First African-American to direct a feature film","Oscar Micheaux (The Homesteader)","African-American Firsts",NA,1910
"126",1920,"First African-American NFL football players","Fritz Pollard (Akron Pros) and Bobby Marshall (Rock Island Independents)[109]","African-American Firsts","Sports",1920
"127",1920,"First African-American bishops of the Methodist Episcopal Church","Robert Elijah Jones and Matthew Wesley Clair.[110]","African-American Firsts","Religion",1920
"128",1921,"First African-American woman to become an aviation pilot, first American to hold an international pilot license","Bessie Coleman[111]","Female African American Firsts","Social & Jobs",1920
"129",1921,"First African-American NFL football coach","Fritz Pollard, co-head coach, Akron Pros, while continuing to play running back[109]","African-American Firsts","Sports",1920
"130",1921,"First African-American woman to earn a Ph.D. in the U.S.","Georgiana Rose Simpson. Simpson received her doctoral degree in German from the University of Chicago in 1921.","Female African American Firsts","Education & Science",1920
"131",1921,"First African-American to find a record label","Harry Pace (Black Swan Records)","African-American Firsts","Arts & Entertainment",1920
"132",1923,"First African-American woman to earn a degree in library science","Virginia Proctor Powell Florence.[112][113] She earned the degree (Bachelor of Library Science) from what is now part of the University of Pittsburgh.[114][115][116]","Female African American Firsts","Education & Science",1920
"133",1924,"First African-American to win individual Olympic gold medal","DeHart Hubbard (long jump, 1924 Summer Olympics).[117] (See also","African-American Firsts","Education & Science",1920
"134",1925,"First African-American Foreign Service Officer","Clifton R. Wharton Sr.[118]","African-American Firsts","Military",1920
"135",1927,"First African-American to become an officer in the New York Fire Department in New York City","Wesley Augustus Williams.[119]","African-American Firsts","Military",1920
"136",1927,"First African-American to star in an international motion picture","Josephine Baker in La Sirène des tropiques.[120]","African-American Firsts","Arts & Entertainment",1920
"137",1928,"First post-Reconstruction African-American elected to U.S. House of Representatives","Oscar Stanton De Priest (Republican; Illinois)[121]","African-American Firsts","Politics",1920
"138",1928,"First African-American woman to serve in a state legislature","Minnie Buckingham Harper, West Virginia[122]","Female African American Firsts","Military",1920
"139",1929,"First African-American sportscaster","Sherman Jocko Maxwell (WNJR, Newark, New Jersey)[123]","African-American Firsts","Sports",1920
"140",1931,"First African-American composer to have their symphony performed by a leading orchestra","William Grant Still, Symphony No. 1, by Rochester Philharmonic Orchestra[124]","African-American Firsts","Arts & Entertainment",1930
"141",1931,"First African-American woman to graduate from Yale Law School","Jane Matilda Bolin","Female African American Firsts","Law",1930
"142",1932,"First African-American on a presidential ticket in the 20th century","James W. Ford (Communist Party USA, as vice-presidential candidate running with William Z. Foster)[125]","African-American Firsts","Politics",1930
"143",1932,"First African-American Ph.D. in anthropology","William Montague Cobb[126][127]","African-American Firsts","Education & Science",1930
"144",1932,"First African-American woman to earn a doctorate in psychology","Inez Prosser","Female African American Firsts","Education & Science",1930
"145",1934,"First African-American elected to the U.S. House of Representatives as a Democrat","Arthur W. Mitchell (Illinois)[128]","African-American Firsts","Politics",1930
"146",1934,"First trade union set up for African-American domestic workers by Dora Lee Jones[relevant?]",NA,"African-American Firsts","Politics",1930
"147",1936,"First African-American to conduct a major U.S. orchestra","William Grant Still (Los Angeles Philharmonic)[129]","African-American Firsts","Arts & Entertainment",1930
"148",1936,"First African-American women selected for the Olympic Games","Tidye Pickett and Louise Stokes.[130] Stokes did not compete; Picket competed in the 80-meter hurdles[131]: 86","African-American Firsts","Politics",1930
"149",1937,"First African-American federal magistrate","William H. Hastie (later the first African-American governor of the United States Virgin Islands)[132]","African-American Firsts","Politics",1930
"150",1938,"First African-American woman federal agency head","Mary McLeod Bethune (National Youth Administration)[133]","Female African American Firsts","Politics",1930
"151",1938,"First African-American woman elected to a state legislature","Crystal Bird Fauset (Pennsylvania General Assembly)","Female African American Firsts","Politics",1930
"152",1939,"First African-American to star in their own television program","Ethel Waters, The Ethel Waters Show, on NBC[134]","African-American Firsts","Arts & Entertainment",1930
"153",1940,"First African-American to win an Oscar","Hattie McDaniel (Best Supporting Actress, Gone with the Wind, 1939)[135]","African-American Firsts","Arts & Entertainment",1940
"154",1940,"First African-American to be portrayed on a U.S. postage stamp","Booker T. Washington[136]","African-American Firsts","Social & Jobs",1940
"155",1940,"First African-American flag officer","BG Benjamin O. Davis Sr., U.S. Army[137][Note 9]","African-American Firsts","Military",1940
"156",1940,"First African-American to earn a doctorate in library science","(Eliza Atkins Gleason, who earned it from the University of Chicago)[138]","African-American Firsts","Education & Science",1940
"157",1941,"First African-American to give a White House Command Performance","Josh White[139]","African-American Firsts","Military",1940
"158",1942,"First African-American to be awarded the Navy Cross","Doris Miller","African-American Firsts","Military",1940
"159",1942,"First African-American member of the U.S. Marine Corps","Alfred Masters[140]","African-American Firsts","Military",1940
"160",1943,"Martin A. Martin, first African-American to become a member of the Trial Bureau of the United States Department of Justice, was sworn in on May 31, 1943.[141]",NA,"African-American Firsts","Politics",1940
"161",1943,"First African-American woman to earn a Ph.D. in mathematics","Euphemia Haynes, from Catholic University of America[142]","Female African American Firsts","Education & Science",1940
"162",1944,"First African-American commissioned officers in the U.S. Navy","The Golden Thirteen[143]","African-American Firsts","Military",1940
"163",1944,"First African-American commissioned as a U.S. Navy officer from the Naval Reserve Officer Training Corps","Samuel Gravely[144][Note 10]","African-American Firsts","Military",1940
"164",1944,"First African-American female Navy officers","Lieutenant Harriet Ida Pickens and Ensign Frances Wills[145]","Female African American Firsts","Military",1940
"165",1944,"First African-American to receive a contract with a major U.S. opera company","Camilla Williams[146]","African-American Firsts","Arts & Entertainment",1940
"166",1944,"First known African-American comic book artist","Matt Baker in Jumbo Comics #69 for Fiction House[147]","African-American Firsts","Arts & Entertainment",1940
"167",1944,"First African-American reporter to attend a U.S. presidential news conference","Harry McAlpin[148]","African-American Firsts","Social & Jobs",1940
"168",1945,"First African-American member of the New York City Opera","Todd Duncan[relevant?]","African-American Firsts","Arts & Entertainment",1940
"169",1945,"First African-American U.S. Marine Corps officer","Frederick C. Branch[149]","African-American Firsts","Military",1940
"170",1945,"First African-American was sworn in as a Navy nurse","Phyllis Mae Dailey[150]","African-American Firsts","Military",1940
"171",1945,"First African-American woman to enter the Coast Guard","Olivia Hooker[151]","Female African American Firsts","Politics",1940
"172",1946,"First African-American to sign a contract with an NFL team in the modern (post-World War II) era","Kenny Washington","African-American Firsts","Education & Science",1940
"173",1947,"First African-American Major League Baseball player of the modern era","Jackie Robinson (Brooklyn Dodgers).[152] (See also","African-American Firsts","Education & Science",1940
"174",1947,"First African-American Major League Baseball player in the American League","Larry Doby (Cleveland Indians).","African-American Firsts","Education & Science",1940
"175",1947,"First African-American consensus college All-American basketball player","Don Barksdale[153]","African-American Firsts","Education & Science",1940
"176",1947,"First comic book produced entirely by African-Americans","All-Negro Comics[154]","African-American Firsts","Arts & Entertainment",1940
"177",1947,"First African-American full-time faculty member at a predominantly white law school","William Robert Ming (University of Chicago Law School)[26]","African-American Firsts","Law",1940
