"","year","accomplishment","person","gender","category","decade"
"293",1968,"First African-American woman reporter for The New York Times","Nancy Hicks Maynard","Female African American Firsts","Social & Jobs",1960
"294",1968,"First African-American starring character of a comic strip","Danny Raven in Dateline","African-American Firsts","Arts & Entertainment",1960
"295",1969,"First African-American superhero","The Falcon, Marvel Comics' Captain America #117 (September 1969).[221][Note 17] (See also","Female African American Firsts","Arts & Entertainment",1960
"296",1969,"First African-American graduate of Harvard Business School","Lillian Lincoln","African-American Firsts","Education & Science",1960
"297",1969,"First African-American director of a major Hollywood motion picture","Gordon Parks (The Learning Tree)","African-American Firsts","Arts & Entertainment",1960
"298",1969,"First African-American founder of a classical training school and the company of ballet","Arthur Mitchell, Dance Theatre of Harlem (See also","African-American Firsts","Education & Science",1960
"299",1969,"First African-American woman to appear on the Grand Ole Opry","Linda Martell","Female African American Firsts","Arts & Entertainment",1960
"300",1969,"First African-American to own a commercial airliner","Warren Wheeler (Wheeler Airlines)[222]","African-American Firsts","Social & Jobs",1960
"301",1970,"First African-American to head an Episcopal diocese","John Melville Burgess, diocesan bishop of Massachusetts[223]","African-American Firsts","Religion",1970
"302",1970,"First African-American U.S. Navy Master Diver","Carl Brashear (See also","African-American Firsts","Military",1970
"303",1970,"First African-American member of the New York Stock Exchange","Joseph L. Searles III[224]","African-American Firsts","Social & Jobs",1970
"304",1970,"First African-American NCAA Division I basketball coach","Will Robinson (Illinois State University)[Note 18]","African-American Firsts","Education & Science",1970
"305",1970,"First African-American contestant in the Miss America pageant","Cheryl Browne (Miss Iowa)","African-American Firsts","Social & Jobs",1970
"306",1970,"First African-American woman (and first woman) to become a physician's assistant","Joyce Nichols","Female African American Firsts","Education & Science",1970
"307",1970,"First African-American actress to win a Emmy Award","Gail Fisher for Mannix (see also","African-American Firsts","Arts & Entertainment",1970
"308",1970,"First African-American basketball player to win the NBA All-Star MVP, the NBA Finals MVP, and the NBA MVP all in the same season","Willis Reed (New York Knicks)","African-American Firsts","Education & Science",1970
"309",1970,"First African-American to initiate the concept of free agency. He refused to accept a trade following the 1969 season, ultimately appealing his case to the U.S. Supreme Court. The trend of free agency expanded across the entire landscape of professional sports for all races and all cultures","Curt Flood (St. Louis Cardinals)[Note 19]","African-American Firsts","Politics",1970
"310",1970,"First African-American to become director of a major library system in America","Clara Stanton Jones, as director of the Detroit Public Library[225]","African-American Firsts","Arts & Entertainment",1970
"311",1970,"First African-American to perform at a Super Bowl halftime show","Lionel Hampton (Super Bowl IV)","African-American Firsts","Arts & Entertainment",1970
"312",1971,"First African-American pitcher to be inducted into the Baseball Hall of Fame","Satchel Paige (See also","Female African American Firsts","Education & Science",1970
"313",1971,"First African-American president of the New York City Board of Education","Isaiah Edward Robinson Jr.","African-American Firsts","Education & Science",1970
"314",1971,"First African-American to win a Golden Globe Award","Gail Fisher for Mannix (see also","African-American Firsts","Arts & Entertainment",1970
"315",1971,"First African-American female jockey in the United States","Cheryl White[226]","Female African American Firsts","Politics",1970
"316",1971,"First African-American to appear by herself on the cover of Playboy","Darine Stern (October issue)","Female African American Firsts","Social & Jobs",1970
"317",1971,"First African-American to become president of the Public Library Association","Effie Lee Morris[227]","African-American Firsts","Education & Science",1970
"318",1972,"First African-American to campaign for the United States presidency in a major political party and to win a U.S. presidential primary/caucus","Shirley Chisholm (Democratic Party, New Jersey primary) (See also","African-American Firsts","Politics",1970
"319",1972,"First African-American superhero to star in own comic-book series","Luke Cage, Marvel Comics' Luke Cage, Hero for Hire #1 (June 1972).[228][Note 17] (See also","Female African American Firsts","Arts & Entertainment",1970
"320",1972,"First African-American National Basketball Association general manager","Wayne Embry","African-American Firsts","Military",1970
"321",1972,"First African-American interracial romantic kiss in a mainstream comics magazine","The Men Who Called Him Monster, by the writer Don McGregor (See also","African-American Firsts","Arts & Entertainment",1970
"322",1972,"First African-American interracial male kiss on network television","Sammy Davis Jr. (African-American) and Carroll O'Connor (Caucasian) in All in the Family[230]","African-American Firsts","Arts & Entertainment",1970
